Screen ID,Destinations,Destination Count
TPS-117,"Salem Depot via Central Square, Wonderland via Central Square, Newburyport, Rockport, North Station, Salem Depot, Neptune Towers, Haymarket, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Central Square",13
MUL-120,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew",13
PRE-171,"Boston College, Cleveland Circle, Riverside, Heath Street, Government Center, Union Square, Medford/Tufts",7
MUL-141,"Mystic Mall, Maverick, Wonderland, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Bowdoin",8
MUL-119,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew",13
MUL-116,"Malden, Airport, Sullivan, Lebanon Loop, Wellington, Linden Square, Kennedy Dr, Jack Satter House, Saugus Center via Square One Mall, Malden via Square One Mall, Melrose Highlands via Oak Grove, Malden via Oak Grove, Reading Depot",13
MUL-129,"Dedham Mall, Walpole Center via Washington St, Georgetowne, Cleary Square",4
PRE-110,"Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Nubian, Needham Heights, Forest Hills via South Bay Center, Ashmont, Mattapan, Wolcott Square, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Georgetowne, Cleary Square, Reservoir",19
bpl-roxbury-V2,"Nubian, South Station, Downtown, Harvard, Harbor Point via South Bay Center, Kenmore via South Bay Center, Kenmore, Central Square, Broadway, Logan Airport via Andrew",10
PRE-176,"Boston College, Cleveland Circle, Riverside, Harbor Point via South Bay Center, Fields Corner, Watertown Yard, Chestnut Hill Mall, Brighton Center, Government Center, Union Square, Kenmore via South Bay Center, Kenmore",12
MUL-108-V2,"North Station, Sullivan, Sullivan via Navy Yard, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Salem Depot, Haymarket",9
MUL-144,"City Point, Copley, Chauncy & Summer, Central Square, Broadway",5
TPS-120,"South Station, Worcester",2
PRE-193,"Wonderland, Bowdoin, Oak Grove, Forest Hills",4
TPS-110,"Market Place Dr, University Park",2
MUL-149,"Alewife, Government Center, Union Square, Medford/Tufts, Braintree, Ashmont, Boston College, Cleveland Circle, Riverside, Heath Street",10
MUL-115,"Woodland Rd, Malden, Sullivan, Wellington, Redstone, Forest Hills, Oak Grove, Haverhill, North Station, Airport, Lebanon Loop, Linden Square, Melrose Highlands via Oak Grove, Malden via Oak Grove, Reading Depot, Kennedy Dr, Jack Satter House, Saugus Center via Square One Mall, Malden via Square One Mall",19
MUL-139,"Columbian Square, Montello, South Shore Plaza, Braintree, Quincy Center",5
TPS-112,"Riverside, Union Square, Brighton Center, Kenmore, Nubian via Allston",5
TPS-127,"Sullivan via Navy Yard, Sullivan, Haymarket via Sullivan, Downtown",4
MUL-142,"Bedford VA, Alewife, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, North Burlington via Mall Rd, Alewife via Mall Rd, Braintree, Ashmont",11
